,Player,Contract Years Left
821,Ander Barrenetxea,6
822,Portu,3
823,Adnan Januzaj,1
824,Alexander Isak,5
825,Willian José,3
826,Carlos Fernández,5
827,Jon Bautista,2
828,Gaizka Ayesa,3
829,Andoni Gorosabel,3
830,Ander Guevara,3
831,Robert Navarro,1
832,Jon Bautista,2
833,Sergio Asenjo,1
834,Gerónimo Rulli,3
835,Pau Torres,3
836,Juan Foyth,5
837,Aïssa Mandi,4
838,Jorge Cuenca,4
839,Raúl Albiol,1
840,Soufiane Chakla,1
841,Alfonso Pedraza,4
842,Pervis Estupiñán,6
843,Alberto Moreno,3
844,Mario Gaspar,2
845,Rubén Peña,3
846,Francis Coquelin,3
847,Étienne Capoue,2
848,Manu Trigueros,1
849,Dani Parejo,3
850,Manu Morlanes,2
851,Vicente Iborra,3
852,Yeremi Pino,3
853,Moi Gómez,4
854,Javi Ontiveros,3
855,Álex Baena,4
856,Samuel Chukwueze,2
857,Dani Raba,2
858,Gerard Moreno,6
859,Paco Alcácer,4
860,Boulaye Dia,5
861,Fer Niño,3
862,Gerónimo Rulli,3
863,Aïssa Mandi,4
864,Rubén Peña,3
865,Vicente Iborra,3
866,Moi Gómez,4
867,Paco Alcácer,4
868,Rui Silva,5
869,Joel Robles,1
870,Claudio Bravo,1
871,Marc Bartra,2
872,Sidnei,1
873,Víctor Ruiz,2
874,Juan Miranda,3
875,Álex Moreno,3
876,Youssouf Sabaly,5
877,Martín Montoya,3
878,Guido Rodríguez,3
879,William Carvalho,2
880,Edgar González,2
881,Paul Akouokou,3
882,Andrés Guardado,1
883,Víctor Camarasa,1
884,Nabil Fekir,2
885,Sergio Canales,2
886,Rodri Sánchez,3
887,Diego Lainez,3
888,Cristian Tello,1
889,Yassin Fekir,2
890,Juanmi,3
891,Aitor Ruibal,4
892,Joaquín,1
893,Rober González,3
894,Borja Iglesias,3
895,Loren Morón,3
896,Claudio Bravo,1
897,José Calderón,2
898,William Carvalho,2
899,Andrés Guardado,1
900,Rober González,3
901,Juanmi,3
902,Unai Simón,4
903,Jokin Ezkieta,2
904,Unai Núñez,4
905,Iñigo Martínez,2
906,Yeray Álvarez,5
907,Dani Vivian,2
908,Yuri Berchiche,1
909,Mikel Balenziaga,1
910,Ander Capa,1
911,Óscar de Marcos,1
912,Iñigo Lekue,2
913,Álex Petxa,3
914,Peru Nolaskoain,3
915,Mikel Vesga,3
916,Unai López,1
917,Unai Vencedor,4
918,Dani García,1
919,Oier Zarraga,2
920,Iker Muniain,3
921,Oihan Sancet,1
922,Álex Berenguer,3
923,Jon Morcillo,2
924,Iñigo Córdoba,1
925,Nico Williams,fail
926,Iñaki Williams,7
927,Asier Villalibre,2
928,Raúl García,1
929,Kenan Kodro,1
930,Iago Herrerín,0
931,Iñigo Martínez,2
932,Dani García,1
933,Jon Morcillo,2
934,Iñaki Williams,7
935,David Soria,2
936,Rubén Yáñez,2
937,Diego Conde,3
938,Djené,2
939,Erick Cabaco,3
940,Stefan Mitrovic,3
941,Ignasi Miquel,2
942,Chema,2
943,Miguel Rubio,2
944,Mathí­as Olivera,2
945,Allan Nyom,1
946,Damián Suárez,1
947,Juan Iglesias,1
948,David Timor,1
949,Mauro Arambarri,2
950,Carles Aleñá,5
951,Nemanja Maksimovic,3
952,Marc Cucurella,3
953,Vitolo,1
954,Josete Miranda,1
955,José Macías,1
956,Enes Ünal,4
957,Hugo Duro,1
958,Jaime Mata,3
959,Sandro Ramírez,1
960,Darío Poveda,5
961,Rubén Yáñez,2
962,Chema,2
963,Juan Iglesias,1
964,Vitolo,1
965,Hugo Duro,1
966,Kang-in Lee,1
967,Rubén Blanco,2
968,Matías Dituro,1
969,Néstor Araújo,2
970,Joseph Aidoo,3
971,Jose Fontán,4
972,Javi Galán,5
973,Hugo Mallo,2
974,Kevin Vázquez,2
975,Renato Tapia,3
976,Okay Yokuslu,2
977,Fran Beltrán,2
978,Denis Suárez,2
979,Miguel Baeza,4
980,Franco Cervi,3
981,Nolito,1
982,Brais Méndez,3
983,Augusto Solari,2
